Acquired Medium google / others,C Ity,Reg at date,Uninstall Date,Usage Days (bin),User ID,Notification Dismiss,Notification Open,Notification Receive,Quiz Count,Session Count,Share Count,Uninstalled,Usage Time,Usertime,Video Count
Normal,,,10/31/2018,,2176,2,1,3,0,5,,,,1868.822,7
Normal,,11/28/2018,11/4/2018,-28,2181,,,,3,3,,0,-24,1957.489,5
Normal,,,10/11/2018,,2182,,,,0,1,,,,323.402,1
Normal,,,,,2183,3,,13,0,2,,,,423.729,0
Normal,,,10/5/2018,,2187,,1,1,3,5,,,,1048.946,0
Normal,,,12/20/2018,,2190,22,11,37,0,6,,,,866.632,1
Normal,,,10/6/2018,,2192,2,,2,0,1,,,,102.651,0
Normal,,11/28/2018,1/27/2019,56,2193,106,13,132,3,30,,1,60,5509.42,9
Normal,,,12/2/2019,,2194,527,24,555,3,36,,,,11113.219,7
Normal,,,4/20/2019,,2201,135,15,150,0,9,,,,1848.426,0
Normal,Mumbai,11/22/2018,9/11/2019,281,2203,164,148,392,130,369,23,1,293,64398.503,91
Normal,Mumbai,3/26/2019,7/5/2019,84,2206,9,1,27,13,27,,1,101,6569.853,8
Normal,Mumbai,12/11/2018,7/13/2019,197,2213,3,1,11,134,188,10,1,214,48368.74,101
Normal,Mumbai,11/23/2018,3/23/2019,112,2216,,,,82,81,25,1,120,15252.59,45
Normal,,,12/19/2018,,2217,48,,48,1,1,,,,116.076,0
Normal,,,10/6/2018,,2219,2,,2,0,,,,,169.161,0
Normal,,,10/9/2018,,2220,2,,2,0,,,,,70.261,0
Normal,,,,,2221,,,,0,2,,,,55.184,0
Normal,Mumbai,1/7/2019,1/16/2019,0,2225,70,3,73,49,19,,1,9,6732.43,17
Normal,,,3/5/2019,,2226,100,,100,0,2,,,,505.191,0
Normal,,,11/9/2018,,2227,12,,12,0,,,,,92.456,0
Normal,,,3/2/2019,,2228,30,2,91,0,8,,,,1427.076,0
Normal,,,10/5/2018,,2230,,,,0,,,,,311.533,0
Normal,,,,,2232,,,,0,1,,,,140.157,0
Normal,,11/29/2018,1/28/2019,56,2239,7,,11,5,27,,1,60,5331.5,13
Normal,Mumbai,12/17/2018,,,2240,24,5,617,82,23,1,,,11708.825,46
Normal,Mumbai,11/26/2018,,,2241,,,1,60,17,14,,,7606.84,29
Normal,,,,,2242,,,1,2,7,,,,1473.311,1
Normal,,,1/7/2019,,2243,,,,0,6,,,,1157.468,0
Normal,,5/20/2019,,,2244,163,12,176,0,10,,,,1524.659,1
Normal,,,11/4/2018,,2245,,,,2,7,,,,747.355,0
Normal,,,,,2246,,,,0,5,,,,1335.552,1
Normal,,,11/15/2018,,2247,17,,17,1,1,,,,201.106,0
Normal,,,,,2248,,,,0,3,,,,1913.659,8
Normal,,,10/11/2018,,2249,,,,0,1,,,,107.2,0
Normal,Mumbai,11/23/2018,10/13/2019,309,2250,322,49,448,118,163,3,1,324,35464.926,74
Normal,,,10/20/2018,,2251,,,,0,4,,,,1598.988,6
Normal,,,11/12/2018,,2252,,,,0,5,,,,1587.683,7
Normal,Mumbai,3/30/2019,12/7/2018,-141,2254,1,,1,0,3,,0,-113,515.524,1
Normal,,,10/16/2018,,2255,2,,2,4,2,,,,1541.947,9
Normal,Mumbai,3/29/2019,5/2/2019,28,2256,11,1,21,42,29,,1,34,6450.365,18
Normal,Mumbai,11/26/2018,5/14/2019,169,2257,157,,175,20,7,,1,169,2584.651,8
Normal,,,10/15/2018,,2258,,,,2,3,,,,848.903,2
